complaint_id,text,product,channel
C00072,billing statement has unexplained charges. I expect a prompt resolution.,Credit Card,Mobile App
C00073,funds are inaccessible after closure. this has been very frustrating.,Credit Card,Mobile App
C00074,issue was escalated but no follow up. I expect a prompt resolution.,Mortgage,Email
C00075,loan application was denied without explanation. I expect a prompt resolution.,Personal Loan,Mobile App
C00076,loan application was denied without explanation. I expect a prompt resolution.,Personal Loan,Mobile App
C00077,received notice that my account is terminated. this is unacceptable.,Credit Card,Mobile App
C00078,long wait times on the phone. I expect a prompt resolution.,Mortgage,Email
C00079,billing statement has unexplained charges. this has been very frustrating.,Credit Card,Branch
C00080,cannot reopen my account. I expect a prompt resolution.,Credit Card,Email
C00081,unable to log into my account. I have contacted support multiple times.,Online Banking,Call Center
C00082,documents were submitted but no response. this is unacceptable.,Personal Loan,Website
C00083,funds are inaccessible after closure. this is unacceptable.,Credit Card,Call Center
C00084,charged unexpected fees on my credit card. this is unacceptable.,Credit Card,Email
C00085,customer service never responds. this has been very frustrating.,Mortgage,Email
C00086,received conflicting information about approval. please resolve this issue immediately.,Personal Loan,Website
C00087,online banking system was down. I have contacted support multiple times.,Online Banking,Call Center
C00088,mobile app keeps crashing. this is unacceptable.,Online Banking,Email
C00089,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Email
C00090,billing statement has unexplained charges. please resolve this issue immediately.,Credit Card,Mobile App
C00091,documents were submitted but no response. this has been very frustrating.,Personal Loan,Mobile App
C00092,cannot reopen my account. I have contacted support multiple times.,Credit Card,Call Center
C00093,transactions not showing in app. I have contacted support multiple times.,Online Banking,Call Center
C00094,documents were submitted but no response. I expect a prompt resolution.,Personal Loan,Branch
C00095,online banking system was down. this has been very frustrating.,Online Banking,Branch
C00096,online banking system was down. this has been very frustrating.,Online Banking,Call Center
C00097,documents were submitted but no response. I have contacted support multiple times.,Personal Loan,Branch
C00098,issue was escalated but no follow up. I expect a prompt resolution.,Mortgage,Mobile App
C00099,charged unexpected fees on my credit card. I have contacted support multiple times.,Credit Card,Email
C00100,interest rate increased suddenly. I expect a prompt resolution.,Credit Card,Email
C00101,loan status keeps changing online. I have contacted support multiple times.,Personal Loan,Mobile App
C00102,unable to log into my account. this has been very frustrating.,Online Banking,Call Center
C00103,approval process is taking too long. this has been very frustrating.,Personal Loan,Call Center
C00104,issue was escalated but no follow up. I expect a prompt resolution.,Mortgage,Website
C00105,approval process is taking too long. I have contacted support multiple times.,Personal Loan,Branch
C00106,annual fee was applied without notice. please resolve this issue immediately.,Credit Card,Branch
C00107,received notice that my account is terminated. please resolve this issue immediately.,Credit Card,Website
C00108,account was closed without warning. this is unacceptable.,Credit Card,Mobile App
C00109,fraud claim has not been resolved. I have contacted support multiple times.,Checking Account,Branch
C00110,unable to log into my account. I have contacted support multiple times.,Online Banking,Website
C00111,annual fee was applied without notice. this is unacceptable.,Credit Card,Call Center
C00112,online banking system was down. please resolve this issue immediately.,Online Banking,Call Center
C00113,cannot reopen my account. this is unacceptable.,Credit Card,Email
C00114,online banking system was down. this has been very frustrating.,Online Banking,Call Center
C00115,received conflicting information about approval. please resolve this issue immediately.,Personal Loan,Mobile App
C00116,billing statement has unexplained charges. this is unacceptable.,Credit Card,Call Center
C00117,funds are inaccessible after closure. this is unacceptable.,Credit Card,Email
C00118,customer service never responds. this is unacceptable.,Mortgage,Email
C00119,documents were submitted but no response. this has been very frustrating.,Personal Loan,Branch
C00120,billing statement has unexplained charges. I expect a prompt resolution.,Credit Card,Website
C00121,website shows error during login. this has been very frustrating.,Online Banking,Call Center
C00122,representative was unhelpful. this has been very frustrating.,Mortgage,Call Center
C00123,representative was unhelpful. this is unacceptable.,Mortgage,Call Center
C00124,card was used without my permission. I expect a prompt resolution.,Checking Account,Website
C00125,loan status keeps changing online. this is unacceptable.,Personal Loan,Website
C00126,support team keeps transferring me. please resolve this issue immediately.,Mortgage,Branch
C00127,customer service never responds. please resolve this issue immediately.,Mortgage,Call Center
C00128,loan status keeps changing online. I expect a prompt resolution.,Personal Loan,Email
C00129,funds are inaccessible after closure. this is unacceptable.,Credit Card,Branch
C00130,fraud claim has not been resolved. I expect a prompt resolution.,Checking Account,Branch
C00131,received notice that my account is terminated. this has been very frustrating.,Credit Card,Call Center
C00132,support team keeps transferring me. please resolve this issue immediately.,Mortgage,Mobile App
C00133,documents were submitted but no response. I have contacted support multiple times.,Personal Loan,Website
C00134,loan application was denied without explanation. this has been very frustrating.,Personal Loan,Website
C00135,fraudulent charges still pending. this has been very frustrating.,Checking Account,Branch
C00136,fraudulent charges still pending. I have contacted support multiple times.,Checking Account,Branch
C00137,dispute process is extremely slow. I have contacted support multiple times.,Checking Account,Website
C00138,account was closed without warning. this has been very frustrating.,Credit Card,Branch
C00139,approval process is taking too long. I expect a prompt resolution.,Personal Loan,Branch
C00140,billing statement has unexplained charges. I have contacted support multiple times.,Credit Card,Mobile App
C00141,fraud claim has not been resolved. this is unacceptable.,Checking Account,Email
C00142,support team keeps transferring me. please resolve this issue immediately.,Mortgage,Branch
C00143,support team keeps transferring me. this is unacceptable.,Mortgage,Email
C00144,fraud claim has not been resolved. this is unacceptable.,Checking Account,Branch
C00145,mobile app keeps crashing. please resolve this issue immediately.,Online Banking,Email
C00146,fraud claim has not been resolved. please resolve this issue immediately.,Checking Account,Branch
C00147,interest rate increased suddenly. I have contacted support multiple times.,Credit Card,Call Center
C00148,unable to log into my account. I expect a prompt resolution.,Online Banking,Mobile App
C00149,approval process is taking too long. I have contacted support multiple times.,Personal Loan,Branch
C00150,received notice that my account is terminated. I have contacted support multiple times.,Credit Card,Mobile App
C00151,dispute process is extremely slow. please resolve this issue immediately.,Checking Account,Email
C00152,dispute process is extremely slow. this has been very frustrating.,Checking Account,Website
C00153,dispute process is extremely slow. I expect a prompt resolution.,Checking Account,Mobile App
C00154,issue was escalated but no follow up. this is unacceptable.,Mortgage,Mobile App
C00155,unable to log into my account. this is unacceptable.,Online Banking,Branch
C00156,support team keeps transferring me. I expect a prompt resolution.,Mortgage,Website
C00157,fraud claim has not been resolved. please resolve this issue immediately.,Checking Account,Branch
C00158,unauthorized transaction on my account. this is unacceptable.,Checking Account,Call Center
C00159,no explanation given for account closure. I have contacted support multiple times.,Credit Card,Branch
C00160,received conflicting information about approval. I expect a prompt resolution.,Personal Loan,Mobile App
C00161,fraudulent charges still pending. I expect a prompt resolution.,Checking Account,Mobile App
C00162,late payment fee seems incorrect. I have contacted support multiple times.,Credit Card,Branch
C00163,loan application was denied without explanation. please resolve this issue immediately.,Personal Loan,Branch
C00164,mobile app keeps crashing. this is unacceptable.,Online Banking,Call Center
C00165,website shows error during login. please resolve this issue immediately.,Online Banking,Branch
C00166,online banking system was down. this is unacceptable.,Online Banking,Mobile App
C00167,cannot reopen my account. this has been very frustrating.,Credit Card,Call Center
C00168,loan application was denied without explanation. this has been very frustrating.,Personal Loan,Mobile App
C00169,approval process is taking too long. this has been very frustrating.,Personal Loan,Email
C00170,approval process is taking too long. I have contacted support multiple times.,Personal Loan,Branch
C00171,account was closed without warning. I expect a prompt resolution.,Credit Card,Website
C00172,card was used without my permission. please resolve this issue immediately.,Checking Account,Website
C00173,support team keeps transferring me. this has been very frustrating.,Mortgage,Website
C00174,online banking system was down. I expect a prompt resolution.,Online Banking,Mobile App
C00175,transactions not showing in app. this is unacceptable.,Online Banking,Branch
C00176,received notice that my account is terminated. this has been very frustrating.,Credit Card,Email
C00177,received notice that my account is terminated. this has been very frustrating.,Credit Card,Call Center
C00178,cannot reopen my account. this has been very frustrating.,Credit Card,Email
C00179,interest rate increased suddenly. I expect a prompt resolution.,Credit Card,Branch
C00180,funds are inaccessible after closure. this has been very frustrating.,Credit Card,Email
C00181,funds are inaccessible after closure. this has been very frustrating.,Credit Card,Branch
C00182,unauthorized transaction on my account. this is unacceptable.,Checking Account,Call Center
C00183,no explanation given for account closure. I have contacted support multiple times.,Credit Card,Branch
C00184,received conflicting information about approval. please resolve this issue immediately.,Personal Loan,Email
C00185,issue was escalated but no follow up. this is unacceptable.,Mortgage,Branch
C00186,cannot reopen my account. please resolve this issue immediately.,Credit Card,Call Center
C00187,loan application was denied without explanation. please resolve this issue immediately.,Personal Loan,Branch
C00188,loan status keeps changing online. I expect a prompt resolution.,Personal Loan,Email
C00189,no explanation given for account closure. please resolve this issue immediately.,Credit Card,Mobile App
C00190,card was used without my permission. I have contacted support multiple times.,Checking Account,Branch
C00191,documents were submitted but no response. please resolve this issue immediately.,Personal Loan,Call Center
C00192,transactions not showing in app. please resolve this issue immediately.,Online Banking,Email
C00193,billing statement has unexplained charges. I have contacted support multiple times.,Credit Card,Mobile App
C00194,loan status keeps changing online. this is unacceptable.,Personal Loan,Email
C00195,loan status keeps changing online. this is unacceptable.,Personal Loan,Branch
C00196,charged unexpected fees on my credit card. please resolve this issue immediately.,Credit Card,Website
C00197,fraud claim has not been resolved. please resolve this issue immediately.,Checking Account,Email
C00198,website shows error during login. I expect a prompt resolution.,Online Banking,Email
C00199,website shows error during login. I expect a prompt resolution.,Online Banking,Call Center
C00200,website shows error during login. please resolve this issue immediately.,Online Banking,Call Center
C00201,mobile app keeps crashing. this has been very frustrating.,Online Banking,Website
C00202,online banking system was down. I expect a prompt resolution.,Online Banking,Website
C00203,approval process is taking too long. this is unacceptable.,Personal Loan,Call Center
C00204,cannot reopen my account. I expect a prompt resolution.,Credit Card,Email
C00205,online banking system was down. I have contacted support multiple times.,Online Banking,Call Center
C00206,documents were submitted but no response. I have contacted support multiple times.,Personal Loan,Call Center
C00207,billing statement has unexplained charges. I have contacted support multiple times.,Credit Card,Call Center
C00208,charged unexpected fees on my credit card. I expect a prompt resolution.,Credit Card,Call Center
C00209,received notice that my account is terminated. this is unacceptable.,Credit Card,Mobile App
C00210,billing statement has unexplained charges. please resolve this issue immediately.,Credit Card,Branch
C00211,dispute process is extremely slow. please resolve this issue immediately.,Checking Account,Website
C00212,interest rate increased suddenly. this is unacceptable.,Credit Card,Mobile App
C00213,late payment fee seems incorrect. this is unacceptable.,Credit Card,Mobile App
C00214,customer service never responds. I have contacted support multiple times.,Mortgage,Website
C00215,representative was unhelpful. this has been very frustrating.,Mortgage,Website
C00216,billing statement has unexplained charges. this is unacceptable.,Credit Card,Email
C00217,support team keeps transferring me. I have contacted support multiple times.,Mortgage,Email
C00218,dispute process is extremely slow. this is unacceptable.,Checking Account,Call Center
C00219,issue was escalated but no follow up. please resolve this issue immediately.,Mortgage,Email
C00220,customer service never responds. I expect a prompt resolution.,Mortgage,Mobile App
C00221,approval process is taking too long. please resolve this issue immediately.,Personal Loan,Mobile App
C00222,approval process is taking too long. I have contacted support multiple times.,Personal Loan,Email
C00223,annual fee was applied without notice. this has been very frustrating.,Credit Card,Branch
C00224,fraudulent charges still pending. this is unacceptable.,Checking Account,Call Center
C00225,annual fee was applied without notice. please resolve this issue immediately.,Credit Card,Call Center
C00226,no explanation given for account closure. this has been very frustrating.,Credit Card,Website
C00227,transactions not showing in app. I have contacted support multiple times.,Online Banking,Branch
C00228,billing statement has unexplained charges. I have contacted support multiple times.,Credit Card,Website
C00229,mobile app keeps crashing. this has been very frustrating.,Online Banking,Mobile App
C00230,documents were submitted but no response. I expect a prompt resolution.,Personal Loan,Email
C00231,website shows error during login. this has been very frustrating.,Online Banking,Branch
C00232,funds are inaccessible after closure. this is unacceptable.,Credit Card,Call Center
C00233,support team keeps transferring me. this is unacceptable.,Mortgage,Branch
C00234,billing statement has unexplained charges. this has been very frustrating.,Credit Card,Branch
C00235,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Call Center
C00236,charged unexpected fees on my credit card. I have contacted support multiple times.,Credit Card,Email
C00237,customer service never responds. please resolve this issue immediately.,Mortgage,Email
C00238,annual fee was applied without notice. this is unacceptable.,Credit Card,Email
C00239,no explanation given for account closure. please resolve this issue immediately.,Credit Card,Website
C00240,issue was escalated but no follow up. this is unacceptable.,Mortgage,Mobile App
C00241,card was used without my permission. this is unacceptable.,Checking Account,Call Center
C00242,online banking system was down. I have contacted support multiple times.,Online Banking,Call Center
C00243,dispute process is extremely slow. please resolve this issue immediately.,Checking Account,Branch
C00244,customer service never responds. this is unacceptable.,Mortgage,Mobile App
C00245,unable to log into my account. please resolve this issue immediately.,Online Banking,Mobile App
C00246,fraudulent charges still pending. this has been very frustrating.,Checking Account,Email
C00247,dispute process is extremely slow. this has been very frustrating.,Checking Account,Website
C00248,representative was unhelpful. I expect a prompt resolution.,Mortgage,Branch
C00249,no explanation given for account closure. this has been very frustrating.,Credit Card,Website
C00250,transactions not showing in app. I have contacted support multiple times.,Online Banking,Call Center
C00251,dispute process is extremely slow. this has been very frustrating.,Checking Account,Mobile App
C00252,cannot reopen my account. I have contacted support multiple times.,Credit Card,Website
C00253,transactions not showing in app. this has been very frustrating.,Online Banking,Email
C00254,unauthorized transaction on my account. I have contacted support multiple times.,Checking Account,Mobile App
C00255,unauthorized transaction on my account. I have contacted support multiple times.,Checking Account,Branch
C00256,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Call Center
C00257,dispute process is extremely slow. this is unacceptable.,Checking Account,Website
C00258,fraudulent charges still pending. I have contacted support multiple times.,Checking Account,Branch
C00259,received conflicting information about approval. I expect a prompt resolution.,Personal Loan,Website
C00260,interest rate increased suddenly. this is unacceptable.,Credit Card,Call Center
C00261,representative was unhelpful. this has been very frustrating.,Mortgage,Call Center
C00262,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Email
C00263,no explanation given for account closure. I have contacted support multiple times.,Credit Card,Branch
C00264,issue was escalated but no follow up. please resolve this issue immediately.,Mortgage,Call Center
C00265,support team keeps transferring me. this is unacceptable.,Mortgage,Branch
C00266,mobile app keeps crashing. I have contacted support multiple times.,Online Banking,Email
C00267,fraud claim has not been resolved. this is unacceptable.,Checking Account,Mobile App
C00268,website shows error during login. this is unacceptable.,Online Banking,Branch
C00269,received notice that my account is terminated. this is unacceptable.,Credit Card,Mobile App
C00270,received conflicting information about approval. I expect a prompt resolution.,Personal Loan,Call Center
C00271,late payment fee seems incorrect. this has been very frustrating.,Credit Card,Email
C00272,unauthorized transaction on my account. I have contacted support multiple times.,Checking Account,Branch
C00273,received notice that my account is terminated. this has been very frustrating.,Credit Card,Branch
C00274,unable to log into my account. I expect a prompt resolution.,Online Banking,Branch
C00275,account was closed without warning. please resolve this issue immediately.,Credit Card,Email
C00276,card was used without my permission. this is unacceptable.,Checking Account,Email
C00277,billing statement has unexplained charges. this has been very frustrating.,Credit Card,Website
C00278,funds are inaccessible after closure. I have contacted support multiple times.,Credit Card,Mobile App
C00279,unauthorized transaction on my account. this has been very frustrating.,Checking Account,Branch
C00280,documents were submitted but no response. this has been very frustrating.,Personal Loan,Mobile App
C00281,online banking system was down. please resolve this issue immediately.,Online Banking,Call Center
C00282,website shows error during login. I have contacted support multiple times.,Online Banking,Website
C00283,issue was escalated but no follow up. I expect a prompt resolution.,Mortgage,Website
C00284,approval process is taking too long. this has been very frustrating.,Personal Loan,Email
C00285,fraudulent charges still pending. I have contacted support multiple times.,Checking Account,Branch
C00286,long wait times on the phone. I have contacted support multiple times.,Mortgage,Branch
C00287,funds are inaccessible after closure. this is unacceptable.,Credit Card,Call Center
C00288,account was closed without warning. this is unacceptable.,Credit Card,Call Center
C00289,cannot reopen my account. I have contacted support multiple times.,Credit Card,Mobile App
C00290,card was used without my permission. I expect a prompt resolution.,Checking Account,Call Center
C00291,no explanation given for account closure. please resolve this issue immediately.,Credit Card,Branch
C00292,mobile app keeps crashing. this is unacceptable.,Online Banking,Branch
C00293,annual fee was applied without notice. this is unacceptable.,Credit Card,Email
C00294,transactions not showing in app. please resolve this issue immediately.,Online Banking,Call Center
C00295,late payment fee seems incorrect. please resolve this issue immediately.,Credit Card,Mobile App
C00296,customer service never responds. I expect a prompt resolution.,Mortgage,Branch
C00297,mobile app keeps crashing. I expect a prompt resolution.,Online Banking,Call Center
C00298,approval process is taking too long. I expect a prompt resolution.,Personal Loan,Call Center
C00299,received notice that my account is terminated. this has been very frustrating.,Credit Card,Mobile App
C00300,website shows error during login. this has been very frustrating.,Online Banking,Email
C00301,mobile app keeps crashing. this has been very frustrating.,Online Banking,Call Center
C00302,website shows error during login. I have contacted support multiple times.,Online Banking,Website
C00303,received conflicting information about approval. please resolve this issue immediately.,Personal Loan,Email
C00304,representative was unhelpful. I have contacted support multiple times.,Mortgage,Call Center
C00305,card was used without my permission. please resolve this issue immediately.,Checking Account,Mobile App
C00306,unauthorized transaction on my account. I have contacted support multiple times.,Checking Account,Website
C00307,no explanation given for account closure. I expect a prompt resolution.,Credit Card,Call Center
C00308,late payment fee seems incorrect. this has been very frustrating.,Credit Card,Call Center
C00309,customer service never responds. this is unacceptable.,Mortgage,Call Center
C00310,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Branch
C00311,funds are inaccessible after closure. this has been very frustrating.,Credit Card,Website
C00312,unauthorized transaction on my account. I expect a prompt resolution.,Checking Account,Email
C00313,transactions not showing in app. I have contacted support multiple times.,Online Banking,Mobile App
C00314,no explanation given for account closure. please resolve this issue immediately.,Credit Card,Branch
C00315,annual fee was applied without notice. this has been very frustrating.,Credit Card,Mobile App
C00316,website shows error during login. this has been very frustrating.,Online Banking,Mobile App
C00317,received conflicting information about approval. I have contacted support multiple times.,Personal Loan,Branch
C00318,card was used without my permission. I expect a prompt resolution.,Checking Account,Branch
C00319,long wait times on the phone. this is unacceptable.,Mortgage,Mobile App
C00320,fraudulent charges still pending. this is unacceptable.,Checking Account,Call Center
C00321,interest rate increased suddenly. I have contacted support multiple times.,Credit Card,Branch
C00322,fraud claim has not been resolved. please resolve this issue immediately.,Checking Account,Mobile App
C00323,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Call Center
C00324,late payment fee seems incorrect. please resolve this issue immediately.,Credit Card,Website
C00325,late payment fee seems incorrect. this has been very frustrating.,Credit Card,Website
C00326,cannot reopen my account. this has been very frustrating.,Credit Card,Mobile App
C00327,mobile app keeps crashing. I have contacted support multiple times.,Online Banking,Email
C00328,loan application was denied without explanation. I expect a prompt resolution.,Personal Loan,Website
C00329,long wait times on the phone. I have contacted support multiple times.,Mortgage,Call Center
C00330,received conflicting information about approval. this has been very frustrating.,Personal Loan,Call Center
C00331,approval process is taking too long. I expect a prompt resolution.,Personal Loan,Call Center
C00332,loan application was denied without explanation. this has been very frustrating.,Personal Loan,Website
C00333,interest rate increased suddenly. I have contacted support multiple times.,Credit Card,Email
C00334,online banking system was down. I have contacted support multiple times.,Online Banking,Call Center
C00335,annual fee was applied without notice. this is unacceptable.,Credit Card,Email
C00336,charged unexpected fees on my credit card. this is unacceptable.,Credit Card,Branch
C00337,transactions not showing in app. I expect a prompt resolution.,Online Banking,Mobile App
C00338,fraudulent charges still pending. I have contacted support multiple times.,Checking Account,Email
C00339,billing statement has unexplained charges. please resolve this issue immediately.,Credit Card,Branch
C00340,account was closed without warning. this has been very frustrating.,Credit Card,Branch
C00341,dispute process is extremely slow. this has been very frustrating.,Checking Account,Branch
C00342,no explanation given for account closure. this has been very frustrating.,Credit Card,Mobile App
C00343,transactions not showing in app. I have contacted support multiple times.,Online Banking,Mobile App
C00344,documents were submitted but no response. I expect a prompt resolution.,Personal Loan,Email
C00345,representative was unhelpful. this is unacceptable.,Mortgage,Email
C00346,representative was unhelpful. this is unacceptable.,Mortgage,Email
C00347,issue was escalated but no follow up. this has been very frustrating.,Mortgage,Mobile App
C00348,cannot reopen my account. I have contacted support multiple times.,Credit Card,Branch
C00349,fraud claim has not been resolved. this is unacceptable.,Checking Account,Call Center
C00350,dispute process is extremely slow. this is unacceptable.,Checking Account,Mobile App
C00351,website shows error during login. please resolve this issue immediately.,Online Banking,Call Center
C00352,mobile app keeps crashing. this is unacceptable.,Online Banking,Mobile App
C00353,charged unexpected fees on my credit card. this has been very frustrating.,Credit Card,Branch
C00354,interest rate increased suddenly. I have contacted support multiple times.,Credit Card,Email
C00355,billing statement has unexplained charges. I expect a prompt resolution.,Credit Card,Email
C00356,online banking system was down. this is unacceptable.,Online Banking,Call Center
C00357,no explanation given for account closure. this has been very frustrating.,Credit Card,Call Center
C00358,representative was unhelpful. please resolve this issue immediately.,Mortgage,Mobile App
C00359,support team keeps transferring me. I have contacted support multiple times.,Mortgage,Website
C00360,no explanation given for account closure. I have contacted support multiple times.,Credit Card,Mobile App
C00361,transactions not showing in app. please resolve this issue immediately.,Online Banking,Mobile App
C00362,transactions not showing in app. I have contacted support multiple times.,Online Banking,Branch
C00363,support team keeps transferring me. I expect a prompt resolution.,Mortgage,Email
C00364,billing statement has unexplained charges. please resolve this issue immediately.,Credit Card,Mobile App
C00365,documents were submitted but no response. please resolve this issue immediately.,Personal Loan,Call Center
C00366,online banking system was down. I have contacted support multiple times.,Online Banking,Website
C00367,issue was escalated but no follow up. this has been very frustrating.,Mortgage,Website
C00368,account was closed without warning. this has been very frustrating.,Credit Card,Email
C00369,loan status keeps changing online. this is unacceptable.,Personal Loan,Branch
C00370,mobile app keeps crashing. please resolve this issue immediately.,Online Banking,Call Center
C00371,funds are inaccessible after closure. I expect a prompt resolution.,Credit Card,Email
C00372,charged unexpected fees on my credit card. I have contacted support multiple times.,Credit Card,Website
C00373,customer service never responds. this has been very frustrating.,Mortgage,Call Center
C00374,dispute process is extremely slow. this is unacceptable.,Checking Account,Email
C00375,dispute process is extremely slow. please resolve this issue immediately.,Checking Account,Website
C00376,customer service never responds. please resolve this issue immediately.,Mortgage,Branch
C00377,interest rate increased suddenly. I expect a prompt resolution.,Credit Card,Branch
C00378,representative was unhelpful. this has been very frustrating.,Mortgage,Website
C00379,fraudulent charges still pending. this has been very frustrating.,Checking Account,Mobile App
C00380,documents were submitted but no response. I have contacted support multiple times.,Personal Loan,Website
C00381,unable to log into my account. please resolve this issue immediately.,Online Banking,Mobile App
C00382,late payment fee seems incorrect. this is unacceptable.,Credit Card,Website
C00383,loan status keeps changing online. I expect a prompt resolution.,Personal Loan,Website
C00384,support team keeps transferring me. please resolve this issue immediately.,Mortgage,Mobile App
C00385,unauthorized transaction on my account. this is unacceptable.,Checking Account,Mobile App
C00386,unauthorized transaction on my account. please resolve this issue immediately.,Checking Account,Email
C00387,fraudulent charges still pending. this is unacceptable.,Checking Account,Branch
C00388,online banking system was down. this is unacceptable.,Online Banking,Mobile App
C00389,mobile app keeps crashing. I expect a prompt resolution.,Online Banking,Branch
C00390,funds are inaccessible after closure. this has been very frustrating.,Credit Card,Branch
C00391,annual fee was applied without notice. this is unacceptable.,Credit Card,Email
C00392,fraudulent charges still pending. this has been very frustrating.,Checking Account,Branch
C00393,unable to log into my account. I have contacted support multiple times.,Online Banking,Call Center
C00394,loan application was denied without explanation. I expect a prompt resolution.,Personal Loan,Mobile App
